domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.11634901738473168,0.23185157409149418,0.02578798185941043,0.07975799373698708,210.0
www.zeit.de,-0.023261736793482826,0.187485944486676,0.013609641387419167,0.049724702592049995,189.0
www.tagesspiegel.de,-0.013758610362383952,0.2028627802923647,0.046585804132973946,0.08525966820590082,53.0
www.bild.de,-0.10477857142857143,0.2213470972345761,0.06618650793650793,0.09656867736935444,50.0
www.faz.net,-0.08940806878306878,0.2491755461007929,0.02757936507936508,0.06872755987398788,36.0
www.n-tv.de,-0.036376488095238094,0.1991046045523542,0.020089285714285712,0.04716424679096479,16.0
www.focus.de,-0.05141156462585034,0.2582446289240001,0.0,0.0,14.0
www.diepresse.com,-0.012916666666666668,0.21212117153679266,0.01875,0.0441137475995038,12.0
www.ibiza-heute.de,0.02117965367965368,0.2209181550266228,0.018668831168831168,0.04525553605471112,11.0
www.morgenpost.de,-0.26266666666666666,0.23224508127789875,0.01,0.03162277660168379,10.0
www.sueddeutsche.de,-0.03678571428571429,0.23366409042780786,0.04666666666666667,0.10327955589886444,10.0
www.welt.de,0.08604761904761904,0.27612527623957656,0.0375,0.0843685697138191,10.0
steiermark.orf.at,-0.16648148148148148,0.24892104620300462,0.018518518518518517,0.045360921162651446,6.0
www.tagesschau.de,-0.059166666666666666,0.24313347957220716,0.31666666666666665,0.3666666666666667,4.0
www.gamestar.de,0.12142857142857143,0.10067797386602845,0.0,0.0,4.0
kaernten.orf.at,0.08452380952380951,0.09912456946745768,0.08333333333333333,0.14433756729740646,3.0
science.orf.at,0.1277777777777778,0.4256802834331227,0.0,0.0,3.0
wien.orf.at,0.13333333333333333,0.14240006242195885,0.05555555555555555,0.09622504486493763,3.0
taz.de,0.0,0.0,0.16666666666666666,0.0,3.0
t3n.de,-0.03425925925925926,0.1190346112822971,0.0925925925925926,0.08486251286955258,3.0
orf.at,0.36874999999999997,0.4684582425360877,0.0,0.0,2.0
noe.orf.at,0.029999999999999992,0.15556349186104043,0.0,0.0,2.0
www.spektrum.de,0.0,1.0,0.0,1.0,1.0
www.politico.eu,0.0,1.0,0.0,1.0,1.0
www.titanic-magazin.de,0.0,1.0,0.0,1.0,1.0
www.telepolis.de,0.0,1.0,0.0,1.0,1.0
burgenland.orf.at,0.0,1.0,0.0,1.0,1.0
www.dw.com,0.0,1.0,0.0,1.0,1.0
de.catholicnewsagency.com,0.0,1.0,0.0,1.0,1.0
www.computerbase.de,0.0,1.0,0.0,1.0,1.0
www.autobild.de,0.0,1.0,0.0,1.0,1.0
versicherungswirtschaft-heute.de,0.0,1.0,0.0,1.0,1.0
tirol.orf.at,0.0,1.0,0.0,1.0,1.0
salzburg.orf.at,0.0,1.0,0.0,1.0,1.0
ooe.orf.at,0.0,1.0,0.0,1.0,1.0
oesterreich.orf.at,0.0,1.0,0.0,1.0,1.0
oe3.orf.at,0.0,1.0,0.0,1.0,1.0
www.der-postillon.com,0.0,1.0,0.0,1.0,1.0
