,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Bayern,Bayern,LOC,-0.13360882,0.08264463,de,24.20000000,4005044-0,2951839,A,49.00000000,11.50000000,EUROPE,Germany,WCE
Brandenburg,Brandenburg,LOC,-0.10606061,0.30303030,de,19.80000000,4007955-7,2945356,A,52.45905000,13.01582000,EUROPE,Germany,WCE
Berlin,Berlin,LOC,-0.19307832,0.32786885,de,18.30000000,4005728-8,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Baden-Württemberg,Baden-Württemberg,LOC,0.10000000,0.00000000,de,18.00000000,4004176-1,2953481,A,48.50000000,9.00000000,EUROPE,Germany,WCE
Ibiza,Ibiza,LOC,0.00306748,0.01533742,de,16.30000000,4026432-4,6299339,S,38.87286000,1.37312000,EUROPE-AFRICA,Spain,MED
Gewitter,Gewitter,LOC,-0.19018405,0.00000000,de,16.30000000,,0,,,,,,
Deutschland,Deutschland,LOC,-0.10064935,0.00000000,de,15.40000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Hessen,Hessen,LOC,-0.15802469,0.00000000,de,13.50000000,4024729-6,2905330,A,50.55000000,9.00000000,EUROPE,Germany,WCE
Mars,Mars,LOC,0.02542373,0.00000000,de,11.80000000,,6621751,T,-76.66667000,161.95000000,POLAR,Antarctica,EAN
Formentera,Formentera,LOC,-0.12844037,0.00000000,de,10.90000000,4017869-9,2517690,T,38.69467000,1.46919000,EUROPE-AFRICA,Spain,MED
Sturmböen,Sturmböen,LOC,-0.41758242,0.00000000,de,9.10000000,,0,,,,,,
Rheinland-Pfalz,Rheinland-Pfalz,LOC,-0.08536585,0.00000000,de,8.20000000,4049795-1,2847618,A,49.66667000,7.50000000,EUROPE,Germany,WCE
Saarland,Saarland,LOC,-0.08536585,0.00000000,de,8.20000000,4076919-7,2842635,A,49.40472000,6.96083000,EUROPE,Germany,WCE
Tourette,Tourette,LOC,0.05479452,0.13698630,de,7.30000000,4328062-6,3006197,P,43.38057000,2.33399000,EUROPE-AFRICA,France,MED
…,…,LOC,-0.17543860,0.00000000,de,5.70000000,,0,,,,,,
Düsseldorf,Düsseldorf,LOC,-0.38181818,0.00000000,de,5.50000000,4013255-9,2934246,P,51.22172000,6.77616000,EUROPE,Germany,WCE
Deutschlands,Deutschlands,LOC,0.07608696,0.10869565,de,4.60000000,,0,,,,,,
Köln,Köln,LOC,-0.45652174,0.00000000,de,4.60000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
Erde,Erde,LOC,0.67391304,0.00000000,de,4.60000000,1135962553,6295630,L,0.00000000,0.00000000,ATLANTIC,,EAO
Bonn,Bonn,LOC,0.39130435,0.00000000,de,4.60000000,4007666-0,6296510,S,50.87894000,7.12292000,EUROPE,Germany,WCE
Wien,Wien,LOC,0.60465116,0.00000000,de,4.30000000,4066009-6,2761369,P,48.20849000,16.37208000,EUROPE,Austria,WCE
Offenbach,Offenbach,LOC,-0.27027027,0.00000000,de,3.70000000,4043359-6,2857807,P,50.10061000,8.76647000,EUROPE,Germany,WCE
Hagelschaden,Hagelschaden,LOC,0.09729730,0.00000000,de,3.70000000,,0,,,,,,
Pergola,Pergola,LOC,0.00000000,0.00000000,de,3.70000000,1230581-9,3171212,P,43.55485000,12.83633000,EUROPE-AFRICA,Italy,MED
Schweden,Schweden,LOC,0.00000000,0.00000000,de,3.70000000,4077258-5,2661886,A,62.00000000,15.00000000,EUROPE,Sweden,NEU
Niedersachsen,Niedersachsen,LOC,-0.18918919,0.00000000,de,3.70000000,4042226-4,2862926,A,52.83333000,9.16667000,EUROPE,Germany,WCE
Saturn,Saturn,LOC,0.83783784,0.00000000,de,3.70000000,,6624777,T,-66.13333000,101.15000000,POLAR,Antarctica,EAN
Sachsen-Anhalt,Sachsen-Anhalt,LOC,-0.27027027,0.00000000,de,3.70000000,4036934-1,2874545,P,52.12773000,11.62916000,EUROPE,Germany,WCE
Jupiter,Jupiter,LOC,0.83783784,0.00000000,de,3.70000000,,4160610,P,26.93422000,-80.09421000,NORTH-AMERICA,United States,ENA
