,phrase,label,sentiment,subjectivity,language,count
Gewitter im Kopf,Gewitter im Kopf,MISC,,,de,22.599999999999994
"Link
","Link
",MISC,,,de,19.3
“,“,MISC,,,de,11.4
spanische,spanische,MISC,,,de,8.200000000000001
Gewitter im Kopf“,Gewitter im Kopf“,MISC,,,de,8.200000000000001
Youtube-Star Jan Zimmermann,Youtube-Star Jan Zimmermann,MISC,,,de,7.300000000000001
DWD-Prognose,DWD-Prognose,MISC,,,de,5.5
Deutscher,Deutscher,MISC,,,de,3.6999999999999997
Instagram,Instagram,MISC,0.3684210526315789,0.5263157894736842,de,3.6999999999999997
"Wind, Regen","Wind, Regen",MISC,,,de,3.6999999999999997
deutsche,deutsche,MISC,,,de,3.6999999999999997
Internet,Internet,MISC,,,de,2.8
YouTuber,YouTuber,MISC,,,de,2.8
Wetter“,Wetter“,MISC,,,de,2.8
deutscher,deutscher,MISC,,,de,2.8
Tourette-Syndrom,Tourette-Syndrom,MISC,,,de,2.8
MSI,MSI,MISC,,,de,2.8
YouTuber Jan Zimmermann,YouTuber Jan Zimmermann,MISC,,,de,2.8
Flugdatenschreibers,Flugdatenschreibers,MISC,,,de,2.6
olympischen Feuers ins,olympischen Feuers ins,MISC,,,de,1.9
Meteorage im Jahr 2025,Meteorage im Jahr 2025,MISC,,,de,1.9
Social-Media-Star,Social-Media-Star,MISC,,,de,1.9
Youtube,Youtube,MISC,0.0,0.0,de,1.9
BILD-Buschfunk,BILD-Buschfunk,MISC,,,de,1.9
Lightning,Lightning,MISC,,,de,1.9
Reality-Experten,Reality-Experten,MISC,,,de,1.9
spanischen Wetterdienstes,spanischen Wetterdienstes,MISC,,,de,1.9
stern+statt,stern+statt,MISC,,,de,1.9
stern+,stern+,MISC,,,de,1.9
Tag und Nacht,Tag und Nacht,MISC,,,de,1.9
ukrainische,ukrainische,MISC,,,de,1.9
das alte Jahr,das alte Jahr,MISC,,,de,1.9
Blitz-Statistik,Blitz-Statistik,MISC,,,de,1.9
Capital</li><li>4,Capital</li><li>4,MISC,,,de,1.9
Schoc…,Schoc…,MISC,,,de,1.9
Turbo-Prop-Flugzeug,Turbo-Prop-Flugzeug,MISC,,,de,1.9
Kaltluftfront,Kaltluftfront,MISC,,,de,1.9
spanischen,spanischen,MISC,,,de,1.9
Deutschem,Deutschem,MISC,,,de,1.9
Ibiza & Formentera,Ibiza & Formentera,MISC,,,de,1.9
Zeit,Zeit,MISC,,,de,1.9
Mit­ar­bei­te­r,Mit­ar­bei­te­r,MISC,,,de,1.8
Wiener,Wiener,MISC,,,de,1.8
baden-württembergische,baden-württembergische,MISC,,,de,1.3000000000000003
österreichischen,österreichischen,MISC,,,de,1.3
CDU-Spitzenkandidat,CDU-Spitzenkandidat,MISC,,,de,1.1
Gewitter-Risiko,Gewitter-Risiko,MISC,,,de,1.0
Samstag,Samstag,MISC,,,de,1.0
Lightning-Grafikkartenserie,Lightning-Grafikkartenserie,MISC,,,de,1.0
Tim,Tim,MISC,,,de,1.0
Exponiert k,Exponiert k,MISC,,,de,1.0
CES ,CES ,MISC,,,de,1.0
ungemütliches,ungemütliches,MISC,,,de,1.0
ALLES-Blitzer,ALLES-Blitzer,MISC,,,de,1.0
ePaper,ePaper,MISC,,,de,1.0
Der Gesamtverband der Deutschen Versicherungswirtschaft,Der Gesamtverband der Deutschen Versicherungswirtschaft,MISC,,,de,1.0
Teil de…,Teil de…,MISC,,,de,1.0
Ordnungsamt,Ordnungsamt,MISC,,,de,1.0
Euro we…,Euro we…,MISC,,,de,1.0
Glückssache,Glückssache,MISC,,,de,1.0
Das hat gestern,Das hat gestern,MISC,,,de,1.0
Stürmischer Wochenstart,Stürmischer Wochenstart,MISC,,,de,1.0
Eine turbulente Reise für,Eine turbulente Reise für,MISC,,,de,1.0
französische,französische,MISC,,,de,1.0
mi…,mi…,MISC,,,de,1.0
Krieg in Nahost,Krieg in Nahost,MISC,,,de,1.0
Streaming-Partner…,Streaming-Partner…,MISC,,,de,1.0
Festival Wacken Open Air,Festival Wacken Open Air,MISC,,,de,1.0
E…,E…,MISC,,,de,1.0
AUA-Flieger,AUA-Flieger,MISC,,,de,1.0
Söder-Allianz,Söder-Allianz,MISC,,,de,1.0
AUA-Hagelfluges,AUA-Hagelfluges,MISC,,,de,1.0
AUA-Flugzeugs,AUA-Flugzeugs,MISC,,,de,1.0
Gewitter“,Gewitter“,MISC,,,de,1.0
Deu…,Deu…,MISC,,,de,1.0
Fieses Regenwetter,Fieses Regenwetter,MISC,,,de,1.0
TTS-Player,TTS-Player,MISC,,,de,1.0
Wetterprognose“,Wetterprognose“,MISC,,,de,1.0
