,phrase,label,sentiment,subjectivity,language,count
DWD,DWD,ORG,-0.13824884792626732,0.04608294930875577,de,21.699999999999996
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.46996124031007747,0.0,de,17.200000000000003
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,0.09999999999999998,0.0,de,10.000000000000002
GDV,GDV,ORG,0.0,0.0,de,5.0
Lufthansa,Lufthansa,ORG,-0.06521739130434784,0.0,de,4.6
AfD,AfD,ORG,0.5921052631578948,0.0,de,3.8
Aemet,Aemet,ORG,0.3783783783783784,0.0,de,3.6999999999999997
Deutschem Wetterdienst,Deutschem Wetterdienst,ORG,0.1891891891891892,0.2702702702702703,de,3.6999999999999997
TTS-Player,TTS-Player,ORG,-0.5972222222222222,0.0,de,3.5999999999999996
AUA-Hagelflug,AUA-Hagelflug,ORG,0.0,0.0,de,3.4000000000000004
SPD,SPD,ORG,0.588235294117647,0.0,de,3.4000000000000004
AEMET,AEMET,ORG,0.35714285714285715,0.0,de,2.8
SC Freiburg,SC Freiburg,ORG,-0.2692307692307692,0.0,de,2.6
AUTO,AUTO,ORG,0.0,0.0,de,2.6
AEMET!,AEMET!,ORG,0.0,0.0,de,1.9
esoc/ES…,esoc/ES…,ORG,0.0,0.0,de,1.9
GEO,GEO,ORG,1.0526315789473684,0.0,de,1.9
Social Media,Social Media,ORG,-0.7368421052631579,0.0,de,1.9
CDU,CDU,ORG,0.0,0.0,de,1.8000000000000007
FC Schalke 04,FC Schalke 04,ORG,-1.1111111111111112,0.0,de,1.8
BVB,BVB,ORG,-0.2777777777777778,0.2777777777777778,de,1.8
https://epaper.welt.de,https://epaper.welt.de,ORG,0.0,0.0,de,1.8
SPD-Mitglied,SPD-Mitglied,ORG,1.1111111111111112,0.0,de,1.8
FC Schalke 04,FC Schalke 04,ORG,0.4722222222222222,0.0,de,1.8
SC Verl,SC Verl,ORG,0.0,0.0,de,1.8
Hansa Rostock,Hansa Rostock,ORG,0.0,0.0,de,1.8
Bayer,Bayer,ORG,0.0,0.0,de,1.1
Deutschen Wetterdiensts…,Deutschen Wetterdiensts…,ORG,0.0,0.0,de,1.0
AfD-Spitzenkandidat,AfD-Spitzenkandidat,ORG,0.0,0.0,de,1.0
+++ Özdemir,+++ Özdemir,ORG,0.0,0.0,de,1.0
ents…,ents…,ORG,0.0,0.0,de,1.0
Ländle!,Ländle!,ORG,0.0,0.0,de,1.0
Die Grünen,Die Grünen,ORG,-0.7,0.0,de,1.0
Kfz-Versicherung,Kfz-Versicherung,ORG,0.0,0.0,de,1.0
TU,TU,ORG,1.0,0.0,de,1.0
Gesamtverbandes der Versicherer,Gesamtverbandes der Versicherer,ORG,0.0,0.0,de,1.0
Technischen Universität,Technischen Universität,ORG,1.0,0.0,de,1.0
Centre for Ecology &amp,Centre for Ecology &amp,ORG,1.0,0.0,de,1.0
Oettle!,Oettle!,ORG,0.0,0.0,de,1.0
Merz +++,Merz +++,ORG,0.7,0.0,de,1.0
Landtagswahl in Baden-Württemberg,Landtagswahl in Baden-Württemberg,ORG,0.0,0.0,de,1.0
Meine christdemokratische Partei Deutschlands,Meine christdemokratische Partei Deutschlands,ORG,0.7,0.0,de,1.0
Infografik19.02.2…,Infografik19.02.2…,ORG,0.0,0.0,de,1.0
Hochw…,Hochw…,ORG,0.7,0.0,de,1.0
Parlament +++ SPD,Parlament +++ SPD,ORG,0.7,0.0,de,1.0
lby,lby,ORG,0.0,0.0,de,1.0
lhe,lhe,ORG,0.0,0.0,de,1.0
picture alliance,picture alliance,ORG,0.0,0.0,de,1.0
dpa,dpa,ORG,0.0,0.0,de,1.0
Schalke,Schalke,ORG,-1.0,0.0,de,1.0
Karlsruher SC,Karlsruher SC,ORG,0.85,0.0,de,1.0
"Mecklenburg-Vorpommern
+++Live-Ticker","Mecklenburg-Vorpommern
+++Live-Ticker",ORG,0.0,0.0,de,1.0
+++Live-Ticker,+++Live-Ticker,ORG,0.0,0.0,de,1.0
Wetterchaos!,Wetterchaos!,ORG,0.0,0.0,de,1.0
REUTERS,REUTERS,ORG,-0.7,0.0,de,1.0
KRC Genk,KRC Genk,ORG,0.7,0.0,de,1.0
Gegentor-Hagel,Gegentor-Hagel,ORG,0.7,0.0,de,1.0
Bilanz für Berlin,Bilanz für Berlin,ORG,0.0,0.0,de,1.0
angekündi…,angekündi…,ORG,0.7,0.0,de,1.0
Deutschen Wette…,Deutschen Wette…,ORG,0.0,0.0,de,1.0
Ei… +++,Ei… +++,ORG,-0.31999999999999995,0.0,de,1.0
+++,+++,ORG,-0.31999999999999995,0.0,de,1.0
Deutschen Wetterdienste…,Deutschen Wetterdienste…,ORG,0.0,0.0,de,1.0
Liga,Liga,ORG,0.0,0.0,de,1.0
Ländl…,Ländl…,ORG,0.0,0.0,de,1.0
mitteil…,mitteil…,ORG,-0.7,0.0,de,1.0
Rosenmontag,Rosenmontag,ORG,-1.0,0.0,de,1.0
Deutschen Gesellschaft für Allgemeinmedizin und Familienmedizin,Deutschen Gesellschaft für Allgemeinmedizin und Familienmedizin,ORG,0.0,0.0,de,1.0
Deutschland,Deutschland,ORG,0.0,0.0,de,1.0
Bayern,Bayern,ORG,0.0,0.0,de,1.0
Bonn…,Bonn…,ORG,-0.15000000000000002,0.0,de,1.0
Tagesscha…,Tagesscha…,ORG,0.0,0.0,de,1.0
Getty Images,Getty Images,ORG,0.0,0.0,de,1.0
YouTuber,YouTuber,ORG,-1.0,0.0,de,1.0
BILD,BILD,ORG,-0.15000000000000002,0.0,de,1.0
Bonner Polizei,Bonner Polizei,ORG,-0.43333333333333335,0.0,de,1.0
au…,au…,ORG,0.0,0.0,de,1.0
kündi…,kündi…,ORG,0.0,0.0,de,1.0
Union,Union,ORG,0.0,0.0,de,1.0
